# VGGT-SLAM 2.0 baseline numbers. NOT produced by this repo -- supplied by the user,
# who ran them on separate hardware (VGGT-1B does not fit in the 6 GB GPU used here).
# ATE RMSE in metres, evo_ape tum -as.
#
# w16: user's own run via the stock evals/eval_tum.sh (default submap_size 16),
#      same protocol as our DVLT runs -> this is the MATCHED comparison.
# w32: supplied as "SL(4), w=32"; provenance/hardware unconfirmed, so it is NOT
#      directly comparable to the w=16 rows.
config,sequence,rmse
w16,rgbd_dataset_freiburg1_360,0.060363
w16,rgbd_dataset_freiburg1_desk,0.025088
w16,rgbd_dataset_freiburg1_desk2,0.025791
w16,rgbd_dataset_freiburg1_floor,0.042080
w16,rgbd_dataset_freiburg1_plant,0.028030
w16,rgbd_dataset_freiburg1_room,0.065971
w16,rgbd_dataset_freiburg1_rpy,0.028788
w16,rgbd_dataset_freiburg1_teddy,0.037306
w16,rgbd_dataset_freiburg1_xyz,0.019619
w32,rgbd_dataset_freiburg1_360,0.071
w32,rgbd_dataset_freiburg1_desk,0.025
w32,rgbd_dataset_freiburg1_desk2,0.040
w32,rgbd_dataset_freiburg1_floor,0.141
w32,rgbd_dataset_freiburg1_plant,0.023
w32,rgbd_dataset_freiburg1_room,0.102
w32,rgbd_dataset_freiburg1_rpy,0.030
w32,rgbd_dataset_freiburg1_teddy,0.034
w32,rgbd_dataset_freiburg1_xyz,0.014
